nll-oracle,nll-test,EmbeddingSimilarity,
1,10.763682,7.601516,-0.20603236893493887,
6,10.14468,6.961205,-0.20172510854002612,
11,9.991982,6.704528,-0.20538003179096945,
16,9.957835,6.5565896,-0.20706424733259735,
21,9.949521,6.466016,-0.20897535176653131,
26,9.930878,6.381305,-0.20509123826384873,
31,9.891115,6.3053446,-0.20554963013074812,
36,9.898597,6.250642,-0.20190482658511613,
41,9.916347,6.208809,-0.20769795195997828,
46,9.906778,6.1739745,-0.20493036752688215,
51,9.909529,6.1374526,-0.20515042060734495,
56,9.9041815,6.1154294,-0.20429080661649987,
61,9.885217,6.0954914,-0.2033630609809812,
66,9.890138,6.0657926,-0.20327057679970004,
71,9.903148,6.0715117,-0.20357535574397095,
76,9.892392,6.044154,-0.20172521573774166,
